       CourseID                                                                      CourseTitle                                      YearConducted                                                                                    CourseDescription 
              1                                                                             JAVA                                               2016           Java is a general-purpose programming language that is class-based, object-oriented, and d 
              1                                                                             JAVA                                               2017           Java is a general-purpose programming language that is class-based, object-oriented, and d 
              1                                                                             JAVA                                               2018           Java is a general-purpose programming language that is class-based, object-oriented, and d 
              1                                                                             JAVA                                               2019           Java is a general-purpose programming language that is class-based, object-oriented, and d 
              2                                                          Construction Management                                               2016           Construction management (CM) is a professional service that uses specialized, project mana 
              2                                                          Construction Management                                               2017           Construction management (CM) is a professional service that uses specialized, project mana 
              2                                                          Construction Management                                               2018           Construction management (CM) is a professional service that uses specialized, project mana 
              2                                                          Construction Management                                               2019           Construction management (CM) is a professional service that uses specialized, project mana 
              3                                                                              PHP                                               2016           PHP is a general-purpose scripting language that is especially suited to web development.  
              3                                                                              PHP                                               2017           PHP is a general-purpose scripting language that is especially suited to web development.  
              3                                                                              PHP                                               2018           PHP is a general-purpose scripting language that is especially suited to web development.  
              3                                                                              PHP                                               2019           PHP is a general-purpose scripting language that is especially suited to web development.  
              4                                                                          AutoCAD                                               2016           AutoCAD is a commercial computer-aided design (CAD) and drafting software application. Dev 
              4                                                                          AutoCAD                                               2017           AutoCAD is a commercial computer-aided design (CAD) and drafting software application. Dev 
